slug,confidence,guests,organiser,title,how_found
the-hard-skills-with-diana-montalion,NONE,,Kenny Baas-Schwegler,The hard skills? with Diana Montalion,
the-innovation-of-cumulative-cultures-and-developer-problem-solving,NONE,,Andrea Magnorsky,The Innovation of Cumulative Cultures and Developer Problem-Solving,
the-paradox-or-polarity-between-decentralised-and-centralised-decision-making,NONE,,Andrea Magnorsky,The paradox or polarity between decentralised and centralised decision-making,
the-power-of-personal-engagement-by-rozemarijn-evelien,NONE,,Kenny Baas-Schwegler,The power of personal engagement by Rozemarijn & Evelien,
transforming-business-models-in-the-pandemic-with-zsofia-herendi,NONE,,Kenny Baas-Schwegler,Transforming business models in the pandemic with Zsofia Herendi,
trying-out-online-eventstorming,HIGH,Indu Alagarsamy; Maxime Sanglan-Charlier; Barry O'Sullivan,Kenny Baas-Schwegler,Trying out online EventStorming,corrected by hand: source lists three names with no commas
udi-dahan-ask-me-anything,MEDIUM,Udi Dahan,Kenny Baas-Schwegler,Udi Dahan - Ask me Anything,Udi Dahan=title
virtual-lean-coffee-fishbowl-ux-ddd-and-bdd-take-2,NONE,,Kenny Baas-Schwegler,"Virtual Lean Coffee Fishbowl: UX, DDD and BDD - take 2",
virtual-lean-coffee-fishbowl-ux-ddd-and-bdd,NONE,,Kenny Baas-Schwegler,"Virtual Lean Coffee Fishbowl: UX, DDD and BDD",
what-can-we-learn-from-open-source-with-matteo-collina,MEDIUM,Matteo Collina,Kenny Baas-Schwegler,What can we learn from open-source with Matteo Collina,Matteo Collina=title
what-is-an-aggregate-with-thomas-ploch,MEDIUM,Thomas Ploch,Kenny Baas-Schwegler,What is an aggregate with Thomas Ploch,Thomas Ploch=title
what-makes-you-a-ddder,NONE,,Kenny Baas-Schwegler,What makes you a DDD'er?,"Emanuela Damiani Krisztina=body; Hirth Mathias Verraes=body; Jessica White Nick=body | REVIEW: ""Jessica White Nick"" looks like two names run together"
what-writing-a-book-taught-us-about-collaborative-modeling,NONE,,Kenny Baas-Schwegler,What writing a book taught us about collaborative modeling,
when-to-invest-in-strategic-design-and-when-in-tactical-design,NONE,,Kenny Baas-Schwegler,When to invest in Strategic design and when in Tactical design,
