slug,date,title,youtube_id,other_url
refactoring-to-deeper-insight-lessons-learned-applying-ddd-to-large-scale-paul-rayner,2020-10-02,Refactoring to Deeper Insight: Lessons Learned Applying DDD to Large Scale - Paul Rayner,10ixgC8wBLI,
relationships-between-problem-and-solution-space,2021-01-26,Relationship(s) between problem and solution space,xmkjODmaa8k,
reliable-messaging-in-the-world-of-actors-vagif-abilov,2022-03-24,Reliable messaging in the world of actors - Vagif Abilov,QqHFyXYSzZs,
remote-facilitation-with-kirsten-clacey-jay-allen-morris-and-jo-perold,2020-09-22,"Remote facilitation with Kirsten Clacey, Jay-Allen Morris and Jo Perold",hi_DlT_dNg4,
resilience-design-patterns-indu-alagarsamy-kandddinsky-2019,2020-12-28,Resilience Design Patterns - Indu Alagarsamy - KanDDDinsky 2019,3DvtQ_eoOfE,
riding-the-elevator-ddd-in-the-penthouse-michael-plod,2023-12-13,Riding the elevator: DDD in the penthouse - Michael Plöd,OKKMoiC1nqM,
rinat-shagisultanov-talk-session-kicking-over-monoliths-how-ddd-drives-digital-transformation,2018-12-01,Rinat Shagisultanov - Talk Session: Kicking Over Monoliths: How DDD Drives Digital Transformation,Qwn55wbpFVc,
road-movie-architectures-uwe-friedrichsen,2024-02-18,Road-movie architectures - Uwe Friedrichsen,hJRPMUhfEcU,
sacrifice-to-move-on-anton-martynenko-ddd-europe-2019,2019-05-28,Sacrifice to move on - Anton Martynenko - DDD Europe 2019,mkBslgFNr-4,
sandi-metz-talk-session-polly-want-a-message,2018-12-13,Sandi Metz - Talk Session: Polly Want a Message,YtROlyWWhV0,
sara-pellegrini-talk-session-what-cqrs-and-event-sourcing-taught-me-about-ddd,2018-12-20,Sara Pellegrini - Talk Session: What CQRS and Event Sourcing Taught Me About DDD,Zj-GipR1lEA,
scaling-robots-natalia-chechina-ddd-europe-2020,2018-10-26,Scaling robots - Natalia Chechina - DDD Europe 2020,Zj7USrUdulU,
scott-bellware-and-nathan-ladd-the-aggregate-the-cohesion-and-the-cargo-cult,2023-02-22,"Scott Bellware and Nathan Ladd - The Aggregate, The Cohesion, And The Cargo Cult",sb-WO-KcODE,
scott-wlaschin-talk-session-domain-modeling-made-functional,2018-12-15,Scott Wlaschin - Talk Session: Domain Modeling Made Functional,PLFl95c-IiU,
secure-by-domain-driven-design-with-jessica-dan-bergh-and-daniel,2020-04-03,"Secure by Domain-driven design with Jessica, Dan Bergh and Daniel",BpMzn9AxNcw,
sharing-your-systems-knowledge-with-bytesize-architecture-sessions-with-andrea-magnorsky,2022-11-17,Sharing your (Systems) knowledge with Bytesize Architecture Sessions with Andrea Magnorsky,uJ0f8fLU2Vw,
shaun-anderson-talk-session-swift-method-eventstorming-boris-the-spider-and-other-techniques,2018-12-07,"Shaun Anderson - Talk Session: Swift Method: EventStorming, Boris the Spider and Other Techniques",7-fRtd8LUwA,
shifting-from-projects-to-feedback-based-product-dev-practical-tips-and-insights-krisztina-hirth,2023-12-17,Shifting from Projects to Feedback-Based Product Dev: Practical Tips and Insights - Krisztina Hirth,psIZ63m_TSk,
shrinking-transactional-boundaries-domain-driven-design-for-high-traffic-scenarios-robert-baelde,2023-12-25,Shrinking transactional Boundaries: Domain-Driven Design for High Traffic Scenarios - Robert Baelde,TaeKOKzW-Fc,
simplicity-versus-simplification-alexey-zimarev-ddd-europe-2018,2020-10-14,Simplicity versus Simplification - Alexey Zimarev - DDD Europe 2018,UZY9iPcb0FQ,
slow-event-sourcing-reprojections-just-make-them-faster-dennis-doomen,2021-10-14,Slow Event Sourcing reprojections? Just make them faster! - Dennis Doomen,EqVPqInQ6YM,
socio-technical-architecture-with-ora-egozi-barzilai-and-evelyn-van-kelle,2019-07-18,Socio-technical architecture with Ora Egozi-Barzilai and Evelyn van Kelle,YqbXEhO237w,
socio-technical-ddd-essential-social-heuristics-evelyn-van-kelle-ddd-europe-2019,2019-12-21,Socio technical DDD   Essential social heuristics - Evelyn Van Kelle - DDD Europe 2019,FU5wFU6sczI,
sociotechnical-architecture-as-an-enabler-for-product-thinking-eduardo-da-silva-ddd-europe-2021,2016-05-10,Sociotechnical Architecture as an enabler for Product Thinking - Eduardo da Silva - DDD Europe 2021,gTQFmsVkghk,
